row_i,tag,sample_name,jaw,path,png_all,png_errors,png_d21,pred_npy,gt_npy,xyz_npy
10,test_row10_017APYC4,017APYC4,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/017APYC4,inference_all/test_row10_017APYC4.png,inference_errors/test_row10_017APYC4.png,inference_d21/test_row10_017APYC4.png,predictions/test_row10_017APYC4_pred.npy,predictions/test_row10_017APYC4_gt.npy,predictions/test_row10_017APYC4_xyz.npy
11,test_row11_F5NBC5X3,F5NBC5X3,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/F5NBC5X3,inference_all/test_row11_F5NBC5X3.png,inference_errors/test_row11_F5NBC5X3.png,inference_d21/test_row11_F5NBC5X3.png,predictions/test_row11_F5NBC5X3_pred.npy,predictions/test_row11_F5NBC5X3_gt.npy,predictions/test_row11_F5NBC5X3_xyz.npy
12,test_row12_5JRH5J6E,5JRH5J6E,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/5JRH5J6E,inference_all/test_row12_5JRH5J6E.png,inference_errors/test_row12_5JRH5J6E.png,inference_d21/test_row12_5JRH5J6E.png,predictions/test_row12_5JRH5J6E_pred.npy,predictions/test_row12_5JRH5J6E_gt.npy,predictions/test_row12_5JRH5J6E_xyz.npy
13,test_row13_01328DDN,01328DDN,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01328DDN,inference_all/test_row13_01328DDN.png,inference_errors/test_row13_01328DDN.png,inference_d21/test_row13_01328DDN.png,predictions/test_row13_01328DDN_pred.npy,predictions/test_row13_01328DDN_gt.npy,predictions/test_row13_01328DDN_xyz.npy
14,test_row14_X9QY6TGT,X9QY6TGT,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/X9QY6TGT,inference_all/test_row14_X9QY6TGT.png,inference_errors/test_row14_X9QY6TGT.png,inference_d21/test_row14_X9QY6TGT.png,predictions/test_row14_X9QY6TGT_pred.npy,predictions/test_row14_X9QY6TGT_gt.npy,predictions/test_row14_X9QY6TGT_xyz.npy
15,test_row15_ERCT8ZLW,ERCT8ZLW,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/ERCT8ZLW,inference_all/test_row15_ERCT8ZLW.png,inference_errors/test_row15_ERCT8ZLW.png,inference_d21/test_row15_ERCT8ZLW.png,predictions/test_row15_ERCT8ZLW_pred.npy,predictions/test_row15_ERCT8ZLW_gt.npy,predictions/test_row15_ERCT8ZLW_xyz.npy
16,test_row16_0165W7J4,0165W7J4,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/0165W7J4,inference_all/test_row16_0165W7J4.png,inference_errors/test_row16_0165W7J4.png,inference_d21/test_row16_0165W7J4.png,predictions/test_row16_0165W7J4_pred.npy,predictions/test_row16_0165W7J4_gt.npy,predictions/test_row16_0165W7J4_xyz.npy
17,test_row17_01FUZ18R,01FUZ18R,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01FUZ18R,inference_all/test_row17_01FUZ18R.png,inference_errors/test_row17_01FUZ18R.png,inference_d21/test_row17_01FUZ18R.png,predictions/test_row17_01FUZ18R_pred.npy,predictions/test_row17_01FUZ18R_gt.npy,predictions/test_row17_01FUZ18R_xyz.npy
18,test_row18_014996KX,014996KX,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/014996KX,inference_all/test_row18_014996KX.png,inference_errors/test_row18_014996KX.png,inference_d21/test_row18_014996KX.png,predictions/test_row18_014996KX_pred.npy,predictions/test_row18_014996KX_gt.npy,predictions/test_row18_014996KX_xyz.npy
19,test_row19_R8YTI9HB,R8YTI9HB,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/R8YTI9HB,inference_all/test_row19_R8YTI9HB.png,inference_errors/test_row19_R8YTI9HB.png,inference_d21/test_row19_R8YTI9HB.png,predictions/test_row19_R8YTI9HB_pred.npy,predictions/test_row19_R8YTI9HB_gt.npy,predictions/test_row19_R8YTI9HB_xyz.npy
20,test_row20_CEJA35ER,CEJA35ER,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/CEJA35ER,,,,predictions/test_row20_CEJA35ER_pred.npy,predictions/test_row20_CEJA35ER_gt.npy,predictions/test_row20_CEJA35ER_xyz.npy
21,test_row21_7PQAZ8X1,7PQAZ8X1,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/7PQAZ8X1,inference_all/test_row21_7PQAZ8X1.png,inference_errors/test_row21_7PQAZ8X1.png,inference_d21/test_row21_7PQAZ8X1.png,predictions/test_row21_7PQAZ8X1_pred.npy,predictions/test_row21_7PQAZ8X1_gt.npy,predictions/test_row21_7PQAZ8X1_xyz.npy
22,test_row22_9OOBRVB8,9OOBRVB8,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/9OOBRVB8,,,,predictions/test_row22_9OOBRVB8_pred.npy,predictions/test_row22_9OOBRVB8_gt.npy,predictions/test_row22_9OOBRVB8_xyz.npy
23,test_row23_4J24X0ES,4J24X0ES,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/4J24X0ES,,,,predictions/test_row23_4J24X0ES_pred.npy,predictions/test_row23_4J24X0ES_gt.npy,predictions/test_row23_4J24X0ES_xyz.npy
24,test_row24_016PTY8K,016PTY8K,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/016PTY8K,,,,predictions/test_row24_016PTY8K_pred.npy,predictions/test_row24_016PTY8K_gt.npy,predictions/test_row24_016PTY8K_xyz.npy
25,test_row25_38JDN4ZV,38JDN4ZV,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/38JDN4ZV,,,,predictions/test_row25_38JDN4ZV_pred.npy,predictions/test_row25_38JDN4ZV_gt.npy,predictions/test_row25_38JDN4ZV_xyz.npy
26,test_row26_EXS8T3FT,EXS8T3FT,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/EXS8T3FT,,,,predictions/test_row26_EXS8T3FT_pred.npy,predictions/test_row26_EXS8T3FT_gt.npy,predictions/test_row26_EXS8T3FT_xyz.npy
27,test_row27_3HRLKQ4M,3HRLKQ4M,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/3HRLKQ4M,,,,predictions/test_row27_3HRLKQ4M_pred.npy,predictions/test_row27_3HRLKQ4M_gt.npy,predictions/test_row27_3HRLKQ4M_xyz.npy
28,test_row28_R95ZJSBF,R95ZJSBF,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/R95ZJSBF,,,,predictions/test_row28_R95ZJSBF_pred.npy,predictions/test_row28_R95ZJSBF_gt.npy,predictions/test_row28_R95ZJSBF_xyz.npy
29,test_row29_01K5X8CN,01K5X8CN,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01K5X8CN,,,,predictions/test_row29_01K5X8CN_pred.npy,predictions/test_row29_01K5X8CN_gt.npy,predictions/test_row29_01K5X8CN_xyz.npy
30,test_row30_013NXP1H,013NXP1H,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/013NXP1H,,,,predictions/test_row30_013NXP1H_pred.npy,predictions/test_row30_013NXP1H_gt.npy,predictions/test_row30_013NXP1H_xyz.npy
31,test_row31_211UTGV1,211UTGV1,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/211UTGV1,,,,predictions/test_row31_211UTGV1_pred.npy,predictions/test_row31_211UTGV1_gt.npy,predictions/test_row31_211UTGV1_xyz.npy
32,test_row32_H1HUQBYJ,H1HUQBYJ,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/H1HUQBYJ,,,,predictions/test_row32_H1HUQBYJ_pred.npy,predictions/test_row32_H1HUQBYJ_gt.npy,predictions/test_row32_H1HUQBYJ_xyz.npy
33,test_row33_5J9O0LG3,5J9O0LG3,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/5J9O0LG3,,,,predictions/test_row33_5J9O0LG3_pred.npy,predictions/test_row33_5J9O0LG3_gt.npy,predictions/test_row33_5J9O0LG3_xyz.npy
34,test_row34_01MCNDR0,01MCNDR0,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01MCNDR0,,,,predictions/test_row34_01MCNDR0_pred.npy,predictions/test_row34_01MCNDR0_gt.npy,predictions/test_row34_01MCNDR0_xyz.npy
35,test_row35_01DXDP2R,01DXDP2R,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01DXDP2R,,,,predictions/test_row35_01DXDP2R_pred.npy,predictions/test_row35_01DXDP2R_gt.npy,predictions/test_row35_01DXDP2R_xyz.npy
36,test_row36_V5KEFD0N,V5KEFD0N,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/V5KEFD0N,,,,predictions/test_row36_V5KEFD0N_pred.npy,predictions/test_row36_V5KEFD0N_gt.npy,predictions/test_row36_V5KEFD0N_xyz.npy
37,test_row37_ZM8PCSK6,ZM8PCSK6,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/ZM8PCSK6,,,,predictions/test_row37_ZM8PCSK6_pred.npy,predictions/test_row37_ZM8PCSK6_gt.npy,predictions/test_row37_ZM8PCSK6_xyz.npy
38,test_row38_J8YGBFK2,J8YGBFK2,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/J8YGBFK2,,,,predictions/test_row38_J8YGBFK2_pred.npy,predictions/test_row38_J8YGBFK2_gt.npy,predictions/test_row38_J8YGBFK2_xyz.npy
39,test_row39_TZ2JPAJT,TZ2JPAJT,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/TZ2JPAJT,,,,predictions/test_row39_TZ2JPAJT_pred.npy,predictions/test_row39_TZ2JPAJT_gt.npy,predictions/test_row39_TZ2JPAJT_xyz.npy
40,test_row40_B5GFZIRW,B5GFZIRW,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/B5GFZIRW,,,,predictions/test_row40_B5GFZIRW_pred.npy,predictions/test_row40_B5GFZIRW_gt.npy,predictions/test_row40_B5GFZIRW_xyz.npy
41,test_row41_Z6BKBK3G,Z6BKBK3G,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/Z6BKBK3G,,,,predictions/test_row41_Z6BKBK3G_pred.npy,predictions/test_row41_Z6BKBK3G_gt.npy,predictions/test_row41_Z6BKBK3G_xyz.npy
42,test_row42_C928TR28,C928TR28,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/C928TR28,,,,predictions/test_row42_C928TR28_pred.npy,predictions/test_row42_C928TR28_gt.npy,predictions/test_row42_C928TR28_xyz.npy
43,test_row43_UKH51GS2,UKH51GS2,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/UKH51GS2,,,,predictions/test_row43_UKH51GS2_pred.npy,predictions/test_row43_UKH51GS2_gt.npy,predictions/test_row43_UKH51GS2_xyz.npy
44,test_row44_01KAS2KD,01KAS2KD,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01KAS2KD,,,,predictions/test_row44_01KAS2KD_pred.npy,predictions/test_row44_01KAS2KD_gt.npy,predictions/test_row44_01KAS2KD_xyz.npy
45,test_row45_F7U8167K,F7U8167K,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/F7U8167K,,,,predictions/test_row45_F7U8167K_pred.npy,predictions/test_row45_F7U8167K_gt.npy,predictions/test_row45_F7U8167K_xyz.npy
46,test_row46_WQOGLZY4,WQOGLZY4,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/WQOGLZY4,,,,predictions/test_row46_WQOGLZY4_pred.npy,predictions/test_row46_WQOGLZY4_gt.npy,predictions/test_row46_WQOGLZY4_xyz.npy
47,test_row47_EUCFQ9KW,EUCFQ9KW,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/EUCFQ9KW,,,,predictions/test_row47_EUCFQ9KW_pred.npy,predictions/test_row47_EUCFQ9KW_gt.npy,predictions/test_row47_EUCFQ9KW_xyz.npy
48,test_row48_LE4E8YWJ,LE4E8YWJ,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/LE4E8YWJ,,,,predictions/test_row48_LE4E8YWJ_pred.npy,predictions/test_row48_LE4E8YWJ_gt.npy,predictions/test_row48_LE4E8YWJ_xyz.npy
49,test_row49_01FAXM1D,01FAXM1D,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01FAXM1D,,,,predictions/test_row49_01FAXM1D_pred.npy,predictions/test_row49_01FAXM1D_gt.npy,predictions/test_row49_01FAXM1D_xyz.npy
50,test_row50_RTPHYQ5V,RTPHYQ5V,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/RTPHYQ5V,,,,predictions/test_row50_RTPHYQ5V_pred.npy,predictions/test_row50_RTPHYQ5V_gt.npy,predictions/test_row50_RTPHYQ5V_xyz.npy
51,test_row51_M7RTPNPC,M7RTPNPC,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/M7RTPNPC,,,,predictions/test_row51_M7RTPNPC_pred.npy,predictions/test_row51_M7RTPNPC_gt.npy,predictions/test_row51_M7RTPNPC_xyz.npy
52,test_row52_AQLXAN8L,AQLXAN8L,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/AQLXAN8L,,,,predictions/test_row52_AQLXAN8L_pred.npy,predictions/test_row52_AQLXAN8L_gt.npy,predictions/test_row52_AQLXAN8L_xyz.npy
53,test_row53_L8IYFLQP,L8IYFLQP,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/L8IYFLQP,,,,predictions/test_row53_L8IYFLQP_pred.npy,predictions/test_row53_L8IYFLQP_gt.npy,predictions/test_row53_L8IYFLQP_xyz.npy
54,test_row54_CK45DVLG,CK45DVLG,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/CK45DVLG,,,,predictions/test_row54_CK45DVLG_pred.npy,predictions/test_row54_CK45DVLG_gt.npy,predictions/test_row54_CK45DVLG_xyz.npy
55,test_row55_0154T9CN,0154T9CN,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/0154T9CN,,,,predictions/test_row55_0154T9CN_pred.npy,predictions/test_row55_0154T9CN_gt.npy,predictions/test_row55_0154T9CN_xyz.npy
56,test_row56_APLDXK7R,APLDXK7R,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/APLDXK7R,,,,predictions/test_row56_APLDXK7R_pred.npy,predictions/test_row56_APLDXK7R_gt.npy,predictions/test_row56_APLDXK7R_xyz.npy
57,test_row57_ENQ0R553,ENQ0R553,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/ENQ0R553,,,,predictions/test_row57_ENQ0R553_pred.npy,predictions/test_row57_ENQ0R553_gt.npy,predictions/test_row57_ENQ0R553_xyz.npy
58,test_row58_VR3C4L0M,VR3C4L0M,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/VR3C4L0M,,,,predictions/test_row58_VR3C4L0M_pred.npy,predictions/test_row58_VR3C4L0M_gt.npy,predictions/test_row58_VR3C4L0M_xyz.npy
59,test_row59_PBG8YZJ9,PBG8YZJ9,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/PBG8YZJ9,,,,predictions/test_row59_PBG8YZJ9_pred.npy,predictions/test_row59_PBG8YZJ9_gt.npy,predictions/test_row59_PBG8YZJ9_xyz.npy
60,test_row60_01KRCSKD,01KRCSKD,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01KRCSKD,,,,predictions/test_row60_01KRCSKD_pred.npy,predictions/test_row60_01KRCSKD_gt.npy,predictions/test_row60_01KRCSKD_xyz.npy
61,test_row61_013ZD6EX,013ZD6EX,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/013ZD6EX,,,,predictions/test_row61_013ZD6EX_pred.npy,predictions/test_row61_013ZD6EX_gt.npy,predictions/test_row61_013ZD6EX_xyz.npy
62,test_row62_202Z1L1N,202Z1L1N,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/202Z1L1N,,,,predictions/test_row62_202Z1L1N_pred.npy,predictions/test_row62_202Z1L1N_gt.npy,predictions/test_row62_202Z1L1N_xyz.npy
63,test_row63_9U19TREK,9U19TREK,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/9U19TREK,,,,predictions/test_row63_9U19TREK_pred.npy,predictions/test_row63_9U19TREK_gt.npy,predictions/test_row63_9U19TREK_xyz.npy
64,test_row64_01AS9ER0,01AS9ER0,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01AS9ER0,,,,predictions/test_row64_01AS9ER0_pred.npy,predictions/test_row64_01AS9ER0_gt.npy,predictions/test_row64_01AS9ER0_xyz.npy
65,test_row65_08VJ02L0,08VJ02L0,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/08VJ02L0,,,,predictions/test_row65_08VJ02L0_pred.npy,predictions/test_row65_08VJ02L0_gt.npy,predictions/test_row65_08VJ02L0_xyz.npy
66,test_row66_01FC0082,01FC0082,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01FC0082,,,,predictions/test_row66_01FC0082_pred.npy,predictions/test_row66_01FC0082_gt.npy,predictions/test_row66_01FC0082_xyz.npy
67,test_row67_56R9FBMK,56R9FBMK,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/56R9FBMK,,,,predictions/test_row67_56R9FBMK_pred.npy,predictions/test_row67_56R9FBMK_gt.npy,predictions/test_row67_56R9FBMK_xyz.npy
68,test_row68_SW62DGWI,SW62DGWI,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/SW62DGWI,,,,predictions/test_row68_SW62DGWI_pred.npy,predictions/test_row68_SW62DGWI_gt.npy,predictions/test_row68_SW62DGWI_xyz.npy
69,test_row69_6X24ILNE,6X24ILNE,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/6X24ILNE,,,,predictions/test_row69_6X24ILNE_pred.npy,predictions/test_row69_6X24ILNE_gt.npy,predictions/test_row69_6X24ILNE_xyz.npy
70,test_row70_BIIEY91S,BIIEY91S,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/BIIEY91S,,,,predictions/test_row70_BIIEY91S_pred.npy,predictions/test_row70_BIIEY91S_gt.npy,predictions/test_row70_BIIEY91S_xyz.npy
71,test_row71_3EU06ZN9,3EU06ZN9,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/3EU06ZN9,,,,predictions/test_row71_3EU06ZN9_pred.npy,predictions/test_row71_3EU06ZN9_gt.npy,predictions/test_row71_3EU06ZN9_xyz.npy
72,test_row72_QQKBAWLF,QQKBAWLF,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/QQKBAWLF,,,,predictions/test_row72_QQKBAWLF_pred.npy,predictions/test_row72_QQKBAWLF_gt.npy,predictions/test_row72_QQKBAWLF_xyz.npy
73,test_row73_1LYSVDBP,1LYSVDBP,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/1LYSVDBP,,,,predictions/test_row73_1LYSVDBP_pred.npy,predictions/test_row73_1LYSVDBP_gt.npy,predictions/test_row73_1LYSVDBP_xyz.npy
74,test_row74_K6LK1YRK,K6LK1YRK,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/K6LK1YRK,,,,predictions/test_row74_K6LK1YRK_pred.npy,predictions/test_row74_K6LK1YRK_gt.npy,predictions/test_row74_K6LK1YRK_xyz.npy
75,test_row75_019GGYZ4,019GGYZ4,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/019GGYZ4,,,,predictions/test_row75_019GGYZ4_pred.npy,predictions/test_row75_019GGYZ4_gt.npy,predictions/test_row75_019GGYZ4_xyz.npy
76,test_row76_K8SZYQ72,K8SZYQ72,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/K8SZYQ72,,,,predictions/test_row76_K8SZYQ72_pred.npy,predictions/test_row76_K8SZYQ72_gt.npy,predictions/test_row76_K8SZYQ72_xyz.npy
77,test_row77_WINM1RGX,WINM1RGX,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/WINM1RGX,,,,predictions/test_row77_WINM1RGX_pred.npy,predictions/test_row77_WINM1RGX_gt.npy,predictions/test_row77_WINM1RGX_xyz.npy
78,test_row78_0171X5EV,0171X5EV,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/0171X5EV,,,,predictions/test_row78_0171X5EV_pred.npy,predictions/test_row78_0171X5EV_gt.npy,predictions/test_row78_0171X5EV_xyz.npy
79,test_row79_4OTQF1P6,4OTQF1P6,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/4OTQF1P6,,,,predictions/test_row79_4OTQF1P6_pred.npy,predictions/test_row79_4OTQF1P6_gt.npy,predictions/test_row79_4OTQF1P6_xyz.npy
80,test_row80_016G9TFH,016G9TFH,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/016G9TFH,,,,predictions/test_row80_016G9TFH_pred.npy,predictions/test_row80_016G9TFH_gt.npy,predictions/test_row80_016G9TFH_xyz.npy
81,test_row81_9TLHF8TV,9TLHF8TV,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/9TLHF8TV,,,,predictions/test_row81_9TLHF8TV_pred.npy,predictions/test_row81_9TLHF8TV_gt.npy,predictions/test_row81_9TLHF8TV_xyz.npy
